Name,NIII 57,NIII 57 err,OI 63,OI 63 err,OIII 88,OIII err,NII 122,NII 122 err,OI 145,OI 145 err,CII 158,CII 158 err,S63,S63err,S122,S122err,FIR,L_{CO},L_{CO}(log),NIII57/FIR,OI63/FIR,OIII88/FIR,NII122/FIR,OI145/FIR,CII158/FIR,Optical_class,Redshift,DL[Mpc],Brightness (log),Luminosity(log)
IRAS22491-1808 ,NaN,NaN,7.90E-17,1.30E-17,NaN,NaN,1.15E-17,2.30E-18,7.16E-18,1.40E-18,1.52E-16,2.80E-18,4.87,0.2922,3.32,0.1992,207.981942,5.61E+09,9.75E+00,NaN,3.80E-03,NaN,5.53E-04,3.44E-04,7.31E-03,HII,0.07776,348.43,11.26,12.11
IRASF05189-2524 ,<3.51E-17,NaN,1.47E-16,9.90E-18,1.77E-17,4.10E-18,2.72E-17,2.30E-18,1.70E-17,1.20E-18,2.04E-16,2.00E-17,12.8,0.768,7.58,0.4548,537.50088,3.89E+09,9.59E+00,NaN,2.73E-03,3.29E-04,5.06E-04,3.16E-04,3.80E-03,Sy2,0.04256,185.85,11.78,11.97
IRAS07251-0248,NaN,NaN,5.60E-17,1.60E-17,NaN,NaN,1.65E-17,2.10E-18,1.63E-17,NaN,1.18E-16,5.60E-18,7.16,0.4296,4.28,0.2568,300.983256,2.57E+10,1.04E+01,NaN,1.86E-03,NaN,5.48E-04,5.42E-04,3.92E-03,Unk,0.08756,395.08,11.49,12.31
IRASF08572+3915,2.39E-17,3.70E-18,1.07E-16,1.70E-17,5.10E-17,2.60E-18,7.39E-18,1.50E-18,1.39E-17,1.50E-18,1.12E-16,3.00E-18,7.02,0.4212,2.96,0.1776,285.232332,1.56E+09,9.19E+00,8.38E-04,3.75E-03,1.79E-03,2.59E-04,4.87E-04,3.93E-03,Lin,0.05835,257.8,11.73,12.04
IRAS09022-3615,1.96E-16,1.30E-17,8.01E-16,3.50E-17,7.09E-16,1.80E-17,7.16E-17,6.90E-18,8.79E-17,4.40E-18,8.78E-16,2.20E-17,11.47,0.6882,8.86,0.5316,498.150702,2.66E+10,1.04E+01,3.93E-03,1.61E-02,1.42E-02,1.44E-03,1.76E-03,1.76E-02,HII,0.05964,263.75,11.36,12.23
IRASF10565+2448,7.32E-17,5.10E-18,5.38E-16,9.80E-18,1.19E-16,5.50E-18,8.09E-17,3.00E-18,4.31E-17,1.90E-18,6.52E-16,6.70E-18,15.7,0.942,12.55,0.753,685.23462,6.79E+09,9.83E+00,1.07E-03,7.85E-03,1.74E-03,1.18E-03,6.29E-04,9.51E-03,HII,0.0431,188.28,11.54,11.97
IRASF12112+0305,5.60E-17,1.68E-17,2.26E-16,2.90E-17,1.06E-16,1.40E-17,1.35E-17,4.00E-18,2.84E-17,4.40E-18,3.15E-16,1.10E-17,7.77,0.4662,7.07,0.4242,345.980082,1.25E+10,1.01E+01,1.62E-03,6.53E-03,3.06E-03,3.90E-04,8.21E-04,9.10E-03,Lin,0.07332,327.49,10.88,12.27
IRAS13120-5453,1.70E-16,8.50E-18,1.27E-15,6.30E-17,2.77E-16,1.50E-17,2.95E-16,1.40E-17,1.57E-16,8.20E-18,1.41E-15,2.10E-17,45.69,2.7414,40.99,2.4594,2029.811154,-9,-9.00E+00,8.38E-04,6.26E-03,1.36E-03,1.45E-03,7.73E-04,6.95E-03,Sy2,0.03076,133.12,11.99,12.2
IRASF14348-1447,NaN,NaN,1.92E-16,1.90E-17,7.23E-17,5.90E-18,2.20E-17,3.00E-18,2.35E-17,2.10E-18,3.03E-16,5.00E-18,8.08,0.4848,7.12,0.4272,357.931728,1.81E+10,1.03E+01,NaN,5.36E-03,2.02E-03,6.15E-04,6.57E-04,8.47E-03,Lin,0.083,373.3,10.48,12.29
IRASF14378-3651,NaN,NaN,1.69E-16,1.70E-17,NaN,NaN,1.83E-17,1.80E-18,9.97E-18,1.20E-18,1.22E-16,3.10E-18,6.85,0.411,4.86,0.2916,294.05901,5.19E+09,9.71E+00,NaN,5.75E-03,NaN,6.22E-04,3.39E-04,4.15E-03,Lin,0.06764,300.88,11.81,12.11
IRASF19297-0406,1.22E-16,,1.61E-16,1.50E-17,4.16E-17,6.30E-18,2.50E-17,3.90E-18,1.52E-17,3.20E-18,2.60E-16,8.20E-18,7.46,0.4476,6.01,0.3606,325.968636,1.11E+10,1.00E+01,3.74E-03,4.94E-03,1.28E-03,7.67E-04,4.66E-04,7.98E-03,HII,0.08573,386.32,11.67,12.35
IRAS15206+3342,NaN,NaN,1.71E-16,5.00E-18,NaN,NaN,NaN,NaN,NaN,NaN,1.79E-16,3.10E-18,1.52,0.0912,1.04,0.0624,64.944432,1.18E+10,1.01E+01,NaN,2.63E-02,NaN,NaN,NaN,2.76E-02,HII,0.12441,575.75,0,12.07
